[Instrumentation] 2024-09-12 20:30:19,725 [INFO]: Instrumentation Logger configured
[Instrumentation] 2024-09-12 20:30:19,731 [INFO]: Stream configured
[Instrumentation] 2024-09-12 20:30:22,151 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.962562804549634], 'AIN49': [7.961904949249401], 'AIN50': [7.324714534889608], 'AIN51': [6.718483297826424], 'AIN64': [4.214580856470093], 'AIN65': [9.779019110576883], 'AIN66': [10.120201880784407], 'AIN67': [7.21003921490319], 'AIN68': [7.198034635951444], 'AIN80': [10.120201880784407], 'AIN81': [7.499728659607172], 'AIN82': [7.185082327082455]})
[Instrumentation] 2024-09-12 20:30:22,234 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.794814609197601], 'AIN49': [7.994127766435668], 'AIN50': [7.3518827925172445], 'AIN51': [6.74565155545406], 'AIN64': [3.863604877117723], 'AIN65': [9.821982866825238], 'AIN66': [10.120201880784407], 'AIN67': [7.189189156723842], 'AIN68': [7.170866378323808], 'AIN80': [10.120201880784407], 'AIN81': [7.527844647152051], 'AIN82': [7.2075119351238754]})
[Instrumentation] 2024-09-12 20:30:22,318 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.888323961032256], 'AIN49': [7.966327688863203], 'AIN50': [7.324714534889608], 'AIN51': [6.719115117771253], 'AIN64': [4.628738830305338], 'AIN65': [9.787232769859656], 'AIN66': [10.120201880784407], 'AIN67': [7.213198314627334], 'AIN68': [7.18760960686177], 'AIN80': [10.120201880784407], 'AIN81': [7.502571849358901], 'AIN82': [7.186030056999698]})
[Instrumentation] 2024-09-12 20:30:22,401 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.727841695045754], 'AIN49': [7.989705026821866], 'AIN50': [7.351250972572416], 'AIN51': [6.74565155545406], 'AIN64': [4.200996727656275], 'AIN65': [9.82071922693558], 'AIN66': [10.120201880784407], 'AIN67': [7.184450507137626], 'AIN68': [7.162652719041034], 'AIN80': [10.120201880784407], 'AIN81': [7.527212827207222], 'AIN82': [7.212250584710091]})
[Instrumentation] 2024-09-12 20:30:22,484 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.725314415266439], 'AIN49': [7.962220859221816], 'AIN50': [7.323450894999951], 'AIN51': [6.7172196579367665], 'AIN64': [4.99361484844394], 'AIN65': [9.791023689528629], 'AIN66': [10.120201880784407], 'AIN67': [7.194243716282472], 'AIN68': [7.182870957275554], 'AIN80': [10.120201880784407], 'AIN81': [7.501940029414072], 'AIN82': [7.181291407413482]})
[Instrumentation] 2024-09-12 20:30:22,568 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.712678016369864], 'AIN49': [7.989389116849452], 'AIN50': [7.35156688254483], 'AIN51': [6.7484947452057895], 'AIN64': [3.411221796620339], 'AIN65': [9.822614686770066], 'AIN66': [10.120201880784407], 'AIN67': [7.191400526530742], 'AIN68': [7.170550468351394], 'AIN80': [10.120201880784407], 'AIN81': [7.522790087593421], 'AIN82': [7.205616475289389]})
[Instrumentation] 2024-09-12 20:30:22,651 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.700673437418118], 'AIN49': [7.953691289966628], 'AIN50': [7.314605415772348], 'AIN51': [6.7096378185988215], 'AIN64': [4.719720902360677], 'AIN65': [9.777123650742396], 'AIN66': [10.120201880784407], 'AIN67': [7.222675613799765], 'AIN68': [7.203721015454903], 'AIN80': [10.120201880784407], 'AIN81': [7.491830910296812], 'AIN82': [7.176868667799681]})
[Instrumentation] 2024-09-12 20:30:22,734 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.850098854370117], 'AIN49': [7.981491367539093], 'AIN50': [7.3392463936206696], 'AIN51': [6.736174256281629], 'AIN64': [4.162139801049307], 'AIN65': [9.816296487321779], 'AIN66': [10.120201880784407], 'AIN67': [7.181923227358311], 'AIN68': [7.165811818765178], 'AIN80': [10.120201880784407], 'AIN81': [7.517103708089962], 'AIN82': [7.1999300957859305]})
[Instrumentation] 2024-09-12 20:30:22,818 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.725946235211268], 'AIN49': [7.952111740104556], 'AIN50': [7.313341775882691], 'AIN51': [6.709005998653993], 'AIN64': [4.383592691711783], 'AIN65': [9.778387290632054], 'AIN66': [10.120201880784407], 'AIN67': [7.222675613799765], 'AIN68': [7.208459665041119], 'AIN80': [10.120201880784407], 'AIN81': [7.489935450462326], 'AIN82': [7.171498198268637]})
[Instrumentation] 2024-09-12 20:30:22,901 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.603057255942076], 'AIN49': [7.952111740104556], 'AIN50': [7.315237235717177], 'AIN51': [6.711849188405722], 'AIN64': [3.497465219089463], 'AIN65': [9.784073670135513], 'AIN66': [10.120201880784407], 'AIN67': [7.221411973910108], 'AIN68': [7.215725594406649], 'AIN80': [10.120201880784407], 'AIN81': [7.484564980931282], 'AIN82': [7.170234558378979]})
[Instrumentation] 2024-09-12 20:30:22,984 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.668766530204266], 'AIN49': [7.973909528201148], 'AIN50': [7.33134864431031], 'AIN51': [6.729540146860927], 'AIN64': [5.302258891492784], 'AIN65': [9.815980577349364], 'AIN66': [10.120201880784407], 'AIN67': [7.200561915730759], 'AIN68': [7.193927806310057], 'AIN80': [10.120201880784407], 'AIN81': [7.510785508641675], 'AIN82': [7.189505066696256]})
[Instrumentation] 2024-09-12 20:30:23,068 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.712678016369864], 'AIN49': [7.953375379994213], 'AIN50': [7.313657685855105], 'AIN51': [6.708690088681578], 'AIN64': [3.983650666635185], 'AIN65': [9.785021400052756], 'AIN66': [10.120201880784407], 'AIN67': [7.22014833402045], 'AIN68': [7.217305144268721], 'AIN80': [10.120201880784407], 'AIN81': [7.490883180379569], 'AIN82': [7.171498198268637]})
[Instrumentation] 2024-09-12 20:30:23,151 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.826721516411453], 'AIN49': [7.9805436376218495], 'AIN50': [7.340510033510327], 'AIN51': [6.736174256281629], 'AIN64': [4.150767042042389], 'AIN65': [9.821982866825238], 'AIN66': [10.120201880784407], 'AIN67': [7.195191446199715], 'AIN68': [7.190768706585914], 'AIN80': [10.120201880784407], 'AIN81': [7.515208248255476], 'AIN82': [7.196770996061787]})
[Instrumentation] 2024-09-12 20:30:23,234 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.712678016369864], 'AIN49': [7.951164010187313], 'AIN50': [7.311762226020619], 'AIN51': [6.71026963854365], 'AIN64': [3.738820438014045], 'AIN65': [9.784073670135513], 'AIN66': [10.120201880784407], 'AIN67': [7.2387870223928985], 'AIN68': [7.227098353413567], 'AIN80': [10.120201880784407], 'AIN81': [7.488671810572669], 'AIN82': [7.169286828461736]})
[Instrumentation] 2024-09-12 20:30:23,318 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.791971419445872], 'AIN49': [7.979595907704606], 'AIN50': [7.339562303593084], 'AIN51': [6.736174256281629], 'AIN64': [3.6718475238621977], 'AIN65': [9.821351046880409], 'AIN66': [10.120201880784407], 'AIN67': [7.201825555620417], 'AIN68': [7.178448217661753], 'AIN80': [10.120201880784407], 'AIN81': [7.515840068200305], 'AIN82': [7.19771872597903]})
[Instrumentation] 2024-09-12 20:30:23,401 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.657709681169763], 'AIN49': [7.9502162802700695], 'AIN50': [7.30891903626889], 'AIN51': [6.70805826873675], 'AIN64': [4.644534328926056], 'AIN65': [9.786600949914828], 'AIN66': [10.120201880784407], 'AIN67': [7.233416552861854], 'AIN68': [7.231521093027368], 'AIN80': [10.120201880784407], 'AIN81': [7.483617251014039], 'AIN82': [7.161389079151377]})
[Instrumentation] 2024-09-12 20:30:23,485 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.701621167335361], 'AIN49': [7.980227727649435], 'AIN50': [7.335771383924111], 'AIN51': [6.733015156557485], 'AIN64': [3.029918459916189], 'AIN65': [9.820403316963166], 'AIN66': [10.120201880784407], 'AIN67': [7.203405105482489], 'AIN68': [7.189505066696256], 'AIN80': [10.120201880784407], 'AIN81': [7.508890048807189], 'AIN82': [7.194243716282472]})
[Instrumentation] 2024-09-12 20:30:23,568 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.490593305762559], 'AIN49': [7.945793540656268], 'AIN50': [7.304496296655088], 'AIN51': [6.6995286994815615], 'AIN64': [5.536032271079421], 'AIN65': [9.784073670135513], 'AIN66': [10.120201880784407], 'AIN67': [7.233416552861854], 'AIN68': [7.235627922668755], 'AIN80': [10.120201880784407], 'AIN81': [7.482037701151967], 'AIN82': [7.1670754586548355]})
[Instrumentation] 2024-09-12 20:30:23,651 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.84378065492183], 'AIN49': [7.978964087759778], 'AIN50': [7.333875924089625], 'AIN51': [6.732383336612656], 'AIN64': [4.514379420291334], 'AIN65': [9.824510146604553], 'AIN66': [10.120201880784407], 'AIN67': [7.206880115179047], 'AIN68': [7.1948755362273005], 'AIN80': [10.120201880784407], 'AIN81': [7.50825822886236], 'AIN82': [7.187925516834184]})
[Instrumentation] 2024-09-12 20:30:23,735 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.422672661693468], 'AIN49': [7.945793540656268], 'AIN50': [7.305759936544746], 'AIN51': [6.697633239647075], 'AIN64': [3.9956552455869314], 'AIN65': [9.78312594021827], 'AIN66': [10.120201880784407], 'AIN67': [7.246052951758429], 'AIN68': [7.22520289357908], 'AIN80': [10.120201880784407], 'AIN81': [7.478562691455409], 'AIN82': [7.1620208990962055]})
[Instrumentation] 2024-09-12 20:30:23,818 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.864946623073592], 'AIN49': [7.9754890780632195], 'AIN50': [7.333875924089625], 'AIN51': [6.73048787677817], 'AIN64': [4.641691139174327], 'AIN65': [9.816612397294193], 'AIN66': [10.120201880784407], 'AIN67': [7.22520289357908], 'AIN68': [7.208459665041119], 'AIN80': [10.120201880784407], 'AIN81': [7.504783219165802], 'AIN82': [7.191084616558328]})
[Instrumentation] 2024-09-12 20:30:23,901 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.742373553776815], 'AIN49': [7.959693579442501], 'AIN50': [7.314605415772348], 'AIN51': [6.71532419810228], 'AIN64': [3.381842169185802], 'AIN65': [9.799237348811403], 'AIN66': [10.120201880784407], 'AIN67': [7.236575652585998], 'AIN68': [7.218884694130793], 'AIN80': [10.120201880784407], 'AIN81': [7.489935450462326], 'AIN82': [7.171498198268637]})
[Instrumentation] 2024-09-12 20:30:23,984 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.593579956769645], 'AIN49': [7.954007199939042], 'AIN50': [7.309866766186133], 'AIN51': [6.710901458488479], 'AIN64': [4.413288229118734], 'AIN65': [9.786916859887242], 'AIN66': [10.120201880784407], 'AIN67': [7.234364282779097], 'AIN68': [7.216989234296307], 'AIN80': [10.120201880784407], 'AIN81': [7.485512710848525], 'AIN82': [7.165495908792764]})
[Instrumentation] 2024-09-12 20:30:24,067 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.732264434659555], 'AIN49': [7.966643598835617], 'AIN50': [7.325978174779266], 'AIN51': [6.721326487578153], 'AIN64': [4.462570184815377], 'AIN65': [9.811557837735563], 'AIN66': [10.120201880784407], 'AIN67': [7.208775575013533], 'AIN68': [7.2049846553445605], 'AIN80': [10.120201880784407], 'AIN81': [7.495621829965785], 'AIN82': [7.181923227358311]})
